column,value,count
rock_class,sedimentary rocks,556
rock_class,intrusive rocks,455
rock_class,volcanic rocks,435
rock_class,metamorphic rocks,104
rock_class,ultramafic rocks,46
rock_type,undivided sedimentary rocks,246
rock_type,undivided volcanic rocks,149
rock_type,granodioritic intrusive rocks,147
rock_type,marine sedimentary and volcanic rocks,146
rock_type,basaltic volcanic rocks,141
rock_type,dioritic intrusive rocks,96
rock_type,coarse clastic sedimentary rocks,79
rock_type,quartz dioritic intrusive rocks,72
rock_type,ultramafic rocks,46
rock_type,calc-alkaline volcanic rocks,44
rock_type,serpentinite ultramafic rocks,42
rock_type,"mudstone, siltstone, shale fine clastic sedimentary rocks",39
rock_type,"high level quartz phyric, felsitic intrusive rocks",39
rock_type,andesitic volcanic rocks,37
rock_type,feldspar porphyritic intrusive rocks,37
rock_type,"conglomerate, coarse clastic sedimentary rocks",31
rock_type,gabbroic to dioritic intrusive rocks,25
rock_type,dacitic volcanic rocks,20
rock_type,quartz monzonitic intrusive rocks,15
rock_type,metamorphic rocks undivided,15
rock_type,mixed volcanic and sedimentary rocks,14
rock_type,orthogneiss metamorphic rocks,14
rock_type,"rhyolite, felsic volcanic rocks",11
rock_type,"limestone, marble, calcareous sedimentary rocks",10
rock_type,coarse volcaniclastic and pyroclastic volcanic rocks,9
rock_type,lower amphibolite/kyanite grade metamorphic rocks,8
rock_type,mid amphibolite/andalusite grade metamorphic rocks,8
rock_type,"granite, alkali feldspar granite intrusive rocks",6
rock_type,"greenstone, greenschist metamorphic rocks",6
rock_type,tonalite intrusive rocks,6
rock_type,"metamorphic rocks, undivided",6
rock_type,blueschist metamorphic rocks,5
rock_type,"diabase, basaltic intrusive rocks",4
rock_type,dioritic to syenitic intrusive rocks,4
rock_type,bimodal volcanic rocks,4
rock_type,"argillite, greywacke, wacke, conglomerate turbidites",3
rock_type,syenitic to monzonitic intrusive rocks,3
rock_type,mafic volcanic rocks,3
rock_type,alkaline volcanic rocks,2
rock_type,volcaniclastic rocks,1
rock_type,sedimentary and volcanic rocks,1
rock_type,porphyry,1
rock_type,"chert, siliceous argillite, siliciclastic rocks",1
unit_desc,"olivine basalt flows; minor interflow breccia and pillow breccia; locally includes gabbro, conglomerate, sandstone, siltstone and diatomite",64
unit_desc,"hornblende diorite, hornblende-biotite diorite to quartz diorite, hornblende-feldspar porphyry; hornblende-biotite-feldspar porphyry, feldspar porphyry",59
unit_desc,"ribbon chert, argillite and pillowed to massive basalt, with lesser amounts of limestone, gabbro, diabase, serpentinite, siltstone, sandstone, pebble conglomerate, slate, phyllite and quartz phyllite",59
unit_desc,"siltstone, shale, calcareous shale, siliceous argillite, sandstone and gritty sandstone; local conglomerate, limestone, silty limestone, andesite, volcanic breccia",38
unit_desc,"late glacial to early post glacial:  olivine basalt flows, basaltic andesite flows and pyroclastic cones, rhyolite, dacite and andesite flows and domes; polymictic breccias and pyroclastics, minor intercalated sediments; includes  silverthrone vol",35
unit_desc,"andesite, basalt and related tuffs and breccias; local, dacite, trachyte, rhyolite, sandstone, conglomerate, mudstone, shale",35
unit_desc,"sandstone and siltstone; calcareous sandstone, coquina; conglomerate and conglomeratic sandstone containing mainly volcanic and plutonic clasts",32
unit_desc,"sandstone, calcarenite, pebbly sandstone, polymictic conglomerate, siltstone, shale; local limestone, basalt, limestone-basalt breccia",31
unit_desc,hornblende-biotite-quartz-feldspar porphyry; quartz-feldspar porphyry,30
unit_desc,"andesitic volcanic breccia, lapilli tuff and ash tuff; mafic to intermediate volcanic flows; volcanic sandstone and conglomerate; local siltstsone and shale",30
unit_desc,"basalt, andesite, dacite, trachyte, rhyolite; related tuffs and breccias; minor amounts of mudstone, shale, sandstone and conglomerate; includes dewdrop flats formation",30
unit_desc,"micaceous quartzofeldspathic sandstone and shale; polymictic conglomerate, lithic sandstone, conglomeratic sandstone; local volcanic conglomerate",28
unit_desc,"undifferentiated gambier group volcanic and sedimentary rocks include thick bedded basaltic andesite, dacitic and rhyolitic tuffs, flows and volcanic breccia, greenstone, pillowed basalt, argillite, greywacke, shale, siltstone, basal conglomerate",25
unit_desc,"granodiorite, lesser quartz diorite and diorite",23
unit_desc,"serpentinite, commonly with knockers of ultramafic rock, gabbro, diorite, diabase, amphibolite, basalt, sandstone, pebble conglomerate, limestone, chert; local talc schist, listwanite, rodingite",22
unit_desc,"hornblende quartz diorite, hornblende diorite, hornblende-plagioclase porphyry; rare granodiorite",22
unit_desc,"chert, argillite, limestone, basalt; local siltstone, sandstone, siliceous phyllite, diorite, gabbro, serpentinite",21
unit_desc,"diorite, gabbro and diabase; local soda granite, quartz diorite, basalt, serpentinite; rare limestone, chert",21
unit_desc,"pebble to cobble conglomerate containing clasts of chert, volcanic rock and sandstone; lesser amounts of sandstone, siltstone and shale; local arkosic sandstone, volcanic conglomerate",20
unit_desc,"hornblende-biotite-plagioclase-quartz porphyry; hornblende-biotite-plagioclase porphyry; local quartz diorite, diorite, granodiorite",20
unit_desc,"undivided ribbon chert, argillite, phyllite, quartz phyllite and pillowed to massive greenstone, with lesser amounts of limestone, gabbro, diabase, serpentinite, sandstone and pebble conglomerate; locally includes minor amounts of cayoosh assembla",19
unit_desc,"serpentinite, commonly with knockers and fault slivers of chert, basalt, limestone; local listwanite",18
unit_desc,"volcaniclastic sandstone, siltstone, shale and argillite; lesser amounts of pebble to cobble conglomerate, limy sandstone, tuff, greenstone, quartzite and fragmental metavolcanic rocks; includes brew group",18
unit_desc,"biotite-hornblende granodiorite and quartz diorite; tonalite, diorite",17
